DATE,BITCOIN,ETHEREUM,BINANCE-COIN,SOLANA
2020-05-23,9131.76727508,206.22772964,16.42513379,0.61498323
2020-05-24,9170.36106351,206.41120696,16.47626663,0.60822017
2020-05-25,8731.84852587,200.69072858,15.99211146,0.54657417
2020-05-26,8883.69176986,203.81011834,16.34363896,0.60223041
2020-05-27,8839.13066327,200.96361541,16.22291608,0.57313995
2020-05-28,9174.118564,207.84589389,16.45306049,0.58840049
2020-05-29,9546.04563504,219.59156406,17.0369407,0.57217009
2020-05-30,9427.12037339,220.49116735,16.99585209,0.57743231
2020-05-31,9662.70587255,242.70977027,17.74005658,0.58581324
2020-06-01,9466.96178143,232.33100304,17.08047499,0.575677
2020-06-02,10167.93069333,248.04456658,17.86826731,0.57897552
2020-06-03,9515.24385866,237.26532013,17.27814409,0.56581432
2020-06-04,9645.22786936,244.12533661,17.53210204,0.58620547
2020-06-05,9776.20299179,243.70782132,17.76777119,0.58675537
2020-06-06,9636.96552705,240.24696899,17.64277721,0.6569611
2020-06-07,9662.858709,242.02164037,17.54423165,0.62541746
2020-06-08,9738.60335683,244.22674439,17.38558548,0.61937456
2020-06-09,9773.0295131,246.21278326,17.39240121,0.66768074
2020-06-10,9767.00531666,243.84952665,17.35802858,0.65541852
2020-06-11,9874.89868183,247.54197153,17.40027023,0.65036175
2020-06-12,9325.9968562,232.00078536,16.31475985,0.5719983
2020-06-13,9469.53329751,237.59341088,16.63316676,0.59335648
2020-06-14,9469.47345616,238.2936291,16.807733,0.6088102
2020-06-15,9345.96090772,232.11252048,16.5715721,0.58618311
2020-06-16,9431.7192622,231.01701155,16.37779577,0.57033127
2020-06-17,9524.92661691,235.28847948,16.41756494,0.58509884
2020-06-18,9463.36141431,233.86361846,16.38942281,0.58184817
2020-06-19,9399.76721713,231.68485732,16.16904727,0.619998
2020-06-20,9312.7801045,228.9592128,15.96431618,0.68609169
2020-06-21,9360.2479682,228.8691488,16.0537683,0.64459798
